run_id,corruption,level,s/test/sel_acc,s/test/acc
1,gaussian_blur,1,98.62638964653016,91.3599967956543
2,gaussian_blur,1,98.5740383207798,91.5299952030182
3,gaussian_blur,1,98.72771381735802,91.60999655723572
4,gaussian_blur,1,98.69108506441115,91.729998588562
1,gaussian_blur,2,96.066075527668,82.10999965667725
2,gaussian_blur,2,96.02491918504238,82.06999897956848
3,gaussian_blur,2,96.5616254746914,83.34999680519104
4,gaussian_blur,2,96.1332272529602,81.72999620437622
1,gaussian_blur,3,90.72514202594758,70.96999883651733
2,gaussian_blur,3,90.05134203433991,69.760000705719
3,gaussian_blur,3,90.73549770712852,70.76999545097351
4,gaussian_blur,3,89.68928405940532,68.98999810218811
1,gaussian_blur,4,80.57171460390092,57.099997997283936
2,gaussian_blur,4,78.19376617968082,54.8799991607666
3,gaussian_blur,4,79.78512805998325,56.15999698638916
4,gaussian_blur,4,77.55491791069508,53.78999710083008
1,gaussian_blur,5,56.795511016249655,35.839998722076416
2,gaussian_blur,5,51.083152344822885,33.640000224113464
3,gaussian_blur,5,54.241671139001845,34.119999408721924
4,gaussian_blur,5,50.07867134213448,30.879998207092285
1,pixelate,1,97.81672283411028,88.65000009536743
2,pixelate,1,97.99327644109728,88.84999752044678
3,pixelate,1,98.06899034380912,88.95999789237976
4,pixelate,1,97.78770285248756,88.87999653816223
1,pixelate,2,96.21474123299122,83.10999870300293
2,pixelate,2,95.82644965648652,82.23999738693237
3,pixelate,2,96.1972880601883,83.05000066757202
4,pixelate,2,96.18375107049944,83.08999538421631
1,pixelate,3,93.66887579262256,77.70999670028687
2,pixelate,3,94.04974746108056,78.0299961566925
3,pixelate,3,94.01251318454744,78.57999801635742
4,pixelate,3,93.7635768800974,78.06999683380127
1,pixelate,4,84.01434787511826,62.97999620437622
2,pixelate,4,84.62948861122132,63.59999775886536
3,pixelate,4,83.43852913379669,62.519997358322144
4,pixelate,4,82.70439730286598,61.93999648094177
1,pixelate,5,68.80980242490769,46.52999937534332
2,pixelate,5,68.95508534312248,46.66000008583069
3,pixelate,5,66.72424251139164,45.09999752044678
4,pixelate,5,67.69915658533573,46.73999845981598
1,shot_noise,1,96.7196728527546,83.66000056266785
2,shot_noise,1,96.18939092159272,82.94999599456787
3,shot_noise,1,96.7386869430542,83.84000062942505
4,shot_noise,1,97.00602700710296,85.02999544143677
1,shot_noise,2,93.62803536951542,75.29000043869019
2,shot_noise,2,93.41831224560738,75.38999915122986
3,shot_noise,2,93.5589987576008,75.67999958992004
4,shot_noise,2,94.49035041928292,78.45999598503113
1,shot_noise,3,81.90337293744088,58.07999968528747
2,shot_noise,3,81.78310617208481,58.74999761581421
3,shot_noise,3,80.99980390965939,58.21999907493591
4,shot_noise,3,84.88902298510075,62.27999925613403
1,shot_noise,4,76.16852151751519,52.84000039100647
2,shot_noise,4,75.84322848320008,52.64999866485596
3,shot_noise,4,74.52458482384682,51.5500009059906
4,shot_noise,4,79.03850671947002,55.559998750686646
1,shot_noise,5,64.99637989103795,43.219998478889465
2,shot_noise,5,65.36613710224628,44.15999948978424
3,shot_noise,5,60.36737688183784,40.99999964237213
4,shot_noise,5,66.73817779123783,44.73999738693237
1,speckle_noise,1,96.68301298618316,82.73999691009521
2,speckle_noise,1,96.58034809827804,83.41000080108643
3,speckle_noise,1,96.98608368039132,84.07999873161316
4,speckle_noise,1,97.04021423459054,85.31000018119812
1,speckle_noise,2,91.70158704519272,71.75999879837036
2,speckle_noise,2,91.49521082043648,71.64999842643738
3,speckle_noise,2,91.16440384685993,74.71999526023865
1,speckle_noise,3,87.86032485365868,65.77000021934509
2,speckle_noise,3,87.78138483464718,66.5399968624115
3,speckle_noise,3,87.07164374291897,65.59999585151672
4,speckle_noise,3,89.78670733571053,69.56999897956848
1,speckle_noise,4,79.7376378506422,55.11999726295471
2,speckle_noise,4,79.27223495543004,55.52999973297119
3,speckle_noise,4,77.22669489085675,54.18999791145325
4,speckle_noise,4,81.45606246888637,58.2099974155426
1,speckle_noise,5,70.12066471874714,46.539998054504395
2,speckle_noise,5,70.40516169369221,46.869999170303345
3,speckle_noise,5,66.40480879247188,44.599997997283936
4,speckle_noise,5,70.86567212641239,47.90999889373779
