run_id,ce_loss,step,dataset,method
2,2.228146,-38.0,cifar10-noaug,lmap
2,2.1797187,-36.0,cifar10-noaug,lmap
2,2.1186943,-34.0,cifar10-noaug,lmap
2,2.032875,-32.0,cifar10-noaug,lmap
2,1.9092577,-30.0,cifar10-noaug,lmap
2,1.7301593,-28.0,cifar10-noaug,lmap
2,1.4759765,-26.0,cifar10-noaug,lmap
2,1.1455947,-24.0,cifar10-noaug,lmap
2,0.77976185,-22.0,cifar10-noaug,lmap
2,0.4473835,-20.0,cifar10-noaug,lmap
2,0.20790417,-18.0,cifar10-noaug,lmap
2,0.0762345,-16.0,cifar10-noaug,lmap
2,0.022735605,-14.0,cifar10-noaug,lmap
2,0.0066518458,-12.0,cifar10-noaug,lmap
2,0.0026114862,-10.0,cifar10-noaug,lmap
2,0.0015427658,-8.0,cifar10-noaug,lmap
2,0.0011828028,-6.0,cifar10-noaug,lmap
2,0.0010364571,-4.0,cifar10-noaug,lmap
2,0.0009752777,-2.0,cifar10-noaug,lmap
2,0.0009601733,0.0,cifar10-noaug,lmap
2,0.0009847387,2.0,cifar10-noaug,lmap
2,0.0010564802,4.0,cifar10-noaug,lmap
2,0.0012158784,6.0,cifar10-noaug,lmap
2,0.0015848718,8.0,cifar10-noaug,lmap
2,0.0025667918,10.0,cifar10-noaug,lmap
2,0.00570137,12.0,cifar10-noaug,lmap
2,0.01619478,14.0,cifar10-noaug,lmap
2,0.047628827,16.0,cifar10-noaug,lmap
2,0.12419882,18.0,cifar10-noaug,lmap
2,0.27152357,20.0,cifar10-noaug,lmap
2,0.5006968,22.0,cifar10-noaug,lmap
2,0.7980345,24.0,cifar10-noaug,lmap
2,1.1271623,26.0,cifar10-noaug,lmap
2,1.444665,28.0,cifar10-noaug,lmap
2,1.7128524,30.0,cifar10-noaug,lmap
2,1.9124907,32.0,cifar10-noaug,lmap
2,2.0473793,34.0,cifar10-noaug,lmap
2,2.1377425,36.0,cifar10-noaug,lmap
2,2.2035403,38.0,cifar10-noaug,lmap
2,2.2601368,40.0,cifar10-noaug,lmap
2,2.3234572,42.0,cifar10-noaug,lmap
2,2.4168508,44.0,cifar10-noaug,lmap
2,2.5929239,46.0,cifar10-noaug,lmap
2,2.9553838,48.0,cifar10-noaug,lmap
2,3.6980548,50.0,cifar10-noaug,lmap
3,7.45571,-50.0,cifar10-noaug,lmap
3,5.0386853,-48.0,cifar10-noaug,lmap
3,3.6378946,-46.0,cifar10-noaug,lmap
3,2.8922572,-44.0,cifar10-noaug,lmap
3,2.5336597,-42.0,cifar10-noaug,lmap
3,2.3679442,-40.0,cifar10-noaug,lmap
3,2.2827036,-38.0,cifar10-noaug,lmap
3,2.2283218,-36.0,cifar10-noaug,lmap
3,2.1825016,-34.0,cifar10-noaug,lmap
3,2.1215115,-32.0,cifar10-noaug,lmap
3,2.0151422,-30.0,cifar10-noaug,lmap
3,1.8312068,-28.0,cifar10-noaug,lmap
3,1.5494633,-26.0,cifar10-noaug,lmap
3,1.1832149,-24.0,cifar10-noaug,lmap
3,0.7878111,-22.0,cifar10-noaug,lmap
