run_id,seed,context_points,context_transform,nll,sel_acc,acc,ece,ood_auroc,dataset
60dg8vf1,211,svhn,False,0.2006315290927887,99.2091923892498,94.6999967098236,2.0942676120996477,99.95812422648515,CIFAR-10
k339dqe2,173,svhn,False,0.19876913726329803,99.22907265424728,94.8300004005432,2.005013188123703,99.96443997524752,CIFAR-10
hdb88aks,157,svhn,False,0.26303336024284363,98.5989487707615,93.1818187236786,3.5514555109495465,99.8812588778409,CIFAR-10
pwn4dvo1,53,svhn,False,0.3482297956943512,98.31965639591218,90.41193723678587,5.105247333730486,99.07014704932853,CIFAR-10
6sp9wpua,5,svhn,False,0.19063514471054077,99.28425984978676,94.92999911308289,1.8275421229004856,99.96605352722771,CIFAR-10
n8ni1eth,211,svhn,True,0.20678065717220304,99.16866799592972,94.37999725341795,2.3678747424483295,99.9630770420792,CIFAR-10
gnubyvx3,173,svhn,True,0.1996215581893921,99.30463131666184,94.79999542236328,2.1613401851058005,99.95959158415842,CIFAR-10
kvhbckqq,157,svhn,True,0.2715966999530792,98.6255720794201,91.7613685131073,4.125084447547454,99.65361287771177,CIFAR-10
frx9h4l2,53,svhn,True,0.31596192717552185,98.3619192481041,91.40625,3.732290213123303,99.62798820054236,CIFAR-10
scu935jl,5,svhn,True,0.19747276604175568,99.33252900242806,94.54999566078186,2.2445714792609217,99.9569020730198,CIFAR-10
bkvks0gh,211,cifar100,False,0.19291698932647705,99.18723084926606,94.8699951171875,1.3616030257940293,99.9422145730198,CIFAR-10
4hh7fer3,173,cifar100,False,0.19252702593803409,99.27456232309342,94.65999603271484,1.430974619090557,99.94662051361384,CIFAR-10
ffdpex77,53,cifar100,False,0.18847455084323883,99.32460036277772,94.8199987411499,1.3972038954496384,99.9417891398515,CIFAR-10
knj1wfj5,157,cifar100,False,0.18440799415111545,99.301462495327,94.95999813079834,1.045313241779804,99.93398978960396,CIFAR-10
lj09b2lb,5,cifar100,False,0.18217529356479645,99.34804087281228,95.12999653816225,1.0784788386523725,99.95519569925744,CIFAR-10
ufryvnxl,211,cifar100,True,0.19032162427902224,99.2641687333584,94.90999579429626,1.2785015788674354,99.94101639851486,CIFAR-10
cucxx449,173,cifar100,True,0.19427424669265747,99.29461517333984,94.8300004005432,1.4425290316343309,99.93244198638614,CIFAR-10
i5txcwvc,53,cifar100,True,0.1927268952131271,99.29915707707406,94.76999640464784,1.3204566848278043,99.94433245668316,CIFAR-10
qh20e7c2,157,cifar100,True,0.184190034866333,99.3386235177517,95.01000046730042,1.0716466200351715,99.94105739480196,CIFAR-10
uhoa0vc8,5,cifar100,True,0.18902909755706787,99.28951593637468,94.90000009536745,1.3694939589500428,99.94474357982672,CIFAR-10
kqs51fx0,211,train,False,0.19939999282360077,99.22830253243448,94.70999836921692,1.617692550420761,99.87282951732672,CIFAR-10
p5vlqddm,173,train,False,0.20540551841259003,99.17666127681731,94.43999528884888,1.6267501322925093,99.89064433787128,CIFAR-10
s7mcp8u0,157,train,False,0.2035316675901413,99.15411939620972,94.58999633789062,1.6273182487487794,99.88764310024752,CIFAR-10
xj1tvc0b,53,train,False,0.19773608446121216,99.22664960622788,94.66999769210815,1.3890313927829263,99.82943378712872,CIFAR-10
kv6vf79n,211,train,True,0.19384293258190155,99.2099327981472,94.83999609947205,1.5284953939914705,99.8974040841584,CIFAR-10
mlgesqrt,5,train,False,0.19188152253627777,99.20927109718323,95.08999586105348,1.307731649875641,99.890411509901,CIFAR-10
4k9vm67t,173,train,True,0.19801300764083865,99.2140604197979,94.70999836921692,1.3543381521105766,99.8820761138614,CIFAR-10
gpjjwwmd,157,train,True,0.21033012866973877,99.14438282847404,94.3399965763092,1.667941108942032,99.84354501856436,CIFAR-10
rb66z6vv,53,train,True,0.19388681650161743,99.16513653993609,94.79999542236328,1.298003571033478,99.88656327351484,CIFAR-10
ufr0ei7d,5,train,True,0.19202658534049988,99.14585592746737,94.96999979019164,1.3937910771369937,99.8895567759901,CIFAR-10
agmxu3xg,173,train,False,0.2713378667831421,98.31147901117802,94.00999546051024,4.03307970315218,96.0288095,FashionMNIST
h18wjz2b,157,train,False,0.2759312093257904,98.52860015928744,94.0400004386902,4.105310818254947,97.3323025,FashionMNIST
lm1k4ek5,5,kmnist,True,0.27834293246269226,98.18538312613964,94.04999613761902,4.106859809756279,99.774158,FashionMNIST
w4ex4qsv,157,kmnist,True,0.2753857970237732,98.31301286518574,94.01999711990356,4.1116061180829995,99.757667,FashionMNIST
zg2fnf3a,211,train,False,0.2822728157043457,98.23902745842932,93.84999871253969,4.259433462321758,97.74194599999998,FashionMNIST
zv397q9y,53,kmnist,True,0.2650265097618103,98.31533672511576,94.11999583244324,3.826894964277745,99.78629,FashionMNIST
8ifkzeby,173,train,True,0.2734762728214264,98.42830033004284,94.06999945640564,3.990950989425182,96.736127,FashionMNIST
8ihq8p7u,5,train,False,0.28280916810035706,98.2258281350136,93.87999773025513,4.338099672198296,97.9908225,FashionMNIST
kq9y7led,53,train,False,0.2913391590118408,98.07184491753578,93.77999901771544,4.234759979248046,98.968839,FashionMNIST
m04k5njl,211,train,True,0.27351152896881104,98.48853845298292,94.06999945640564,4.153262307643891,96.5171325,FashionMNIST
jrly4eqt,157,train,True,0.2624424397945404,98.37112210988998,94.01999711990356,4.084434081017971,98.077369,FashionMNIST
l5mibr7d,53,train,True,0.27793246507644653,98.27495442330836,94.06999945640564,4.155530229061842,99.4452345,FashionMNIST
al98rj6a,5,train,True,0.2756706774234772,98.43467598557471,94.04999613761902,4.031727797985077,97.68505299999998,FashionMNIST
