mode,corruption,level,seed_id,s/test/acc,s/test/sel_acc
fsgc,spatter,4,1,84.9609375,94.77196502685548
fsgc,spatter,3,1,79.3164074420929,93.63040924072266
fsgc,spatter,2,1,83.2812488079071,95.22560119628906
fsgc,spatter,1,1,91.1816418170929,98.45235443115234
fsgc,snow,5,1,74.57031607627869,91.61000061035156
fsgc,snow,4,1,80.7421863079071,94.82266235351562
fsgc,snow,3,1,82.41211175918579,95.38302612304688
fsgc,snow,2,1,80.2441418170929,94.66114807128906
fsgc,snow,1,1,89.34570550918579,97.9147720336914
fsgc,shot_noise,5,1,35.05859375,55.81208801269531
fsgc,shot_noise,4,1,48.02734553813934,71.5434341430664
fsgc,shot_noise,3,1,55.517578125,79.06548309326172
fsgc,shot_noise,2,1,77.0800769329071,93.3837432861328
fsgc,shot_noise,1,1,86.23046875,97.1558609008789
fsgc,saturate,5,1,84.5019519329071,96.50015258789062
fsgc,saturate,4,1,90.185546875,98.30934143066406
fsgc,saturate,3,1,93.603515625,99.07898712158205
fsgc,saturate,2,1,90.58594107627867,98.34420013427734
fsgc,saturate,1,1,93.2421863079071,98.93621063232422
fsgc,pixelate,5,1,46.240234375,68.75222778320312
fsgc,pixelate,4,1,65.4101550579071,85.54830169677734
fsgc,pixelate,3,1,82.50976800918579,95.82254791259766
fsgc,pixelate,2,1,86.962890625,97.46727752685548
fsgc,pixelate,1,1,92.529296875,98.88884735107422
fsgc,motion_blur,5,1,68.5351550579071,86.2210922241211
fsgc,motion_blur,4,1,77.50000357627869,92.36021423339844
fsgc,motion_blur,3,1,76.9238293170929,92.10318756103516
fsgc,motion_blur,2,1,86.1621081829071,96.73518371582033
fsgc,motion_blur,1,1,91.07422232627867,98.4546890258789
fsgc,jpeg_compression,5,1,73.33984375,90.0657958984375
fsgc,jpeg_compression,4,1,76.3378918170929,92.26538848876952
fsgc,jpeg_compression,3,1,79.0820300579071,93.7532730102539
fsgc,jpeg_compression,2,1,81.14258050918579,94.9147720336914
fsgc,jpeg_compression,1,1,86.376953125,97.0550308227539
fsgc,impulse_noise,5,1,18.222656846046448,25.694406509399418
fsgc,impulse_noise,4,1,27.744141221046448,42.73139572143555
fsgc,impulse_noise,3,1,48.56445491313934,70.00125122070312
fsgc,impulse_noise,2,1,62.744140625,81.52825927734375
fsgc,impulse_noise,1,1,79.11133170127869,92.35353088378906
fsgc,gaussian_noise,5,1,28.525391221046448,45.75987243652344
fsgc,gaussian_noise,4,1,33.69140625,54.311561584472656
fsgc,gaussian_noise,3,1,40.75195491313934,64.38249969482422
fsgc,gaussian_noise,2,1,60.527342557907104,82.00414276123047
fsgc,gaussian_noise,1,1,79.09179925918579,94.22666931152344
fsgc,gaussian_blur,5,1,45.263671875,65.02662658691406
fsgc,gaussian_blur,4,1,70.2929675579071,87.9145278930664
fsgc,gaussian_blur,3,1,82.41211175918579,95.03719329833984
fsgc,gaussian_blur,2,1,90.4003918170929,98.2963409423828
fsgc,gaussian_blur,1,1,94.39453482627867,99.2952651977539
fsgc,frosted_glass_blur,5,1,51.982420682907104,71.27922058105469
fsgc,frosted_glass_blur,4,1,47.92968928813934,65.14576721191406
fsgc,frosted_glass_blur,3,1,63.691407442092896,83.19486236572266
fsgc,frosted_glass_blur,2,1,59.23828482627869,78.64691925048828
fsgc,frosted_glass_blur,1,1,57.52930045127869,77.04048156738281
fsgc,frost,5,1,64.111328125,85.81938934326172
fsgc,frost,4,1,74.40429925918579,92.18373107910156
fsgc,frost,3,1,75.6542980670929,92.48747253417967
fsgc,frost,2,1,85.16601920127869,96.71315002441406
fsgc,frost,1,1,91.0546898841858,98.55545806884766
fsgc,fog,5,1,74.4335949420929,91.4506378173828
fsgc,fog,4,1,90.576171875,98.38359832763672
fsgc,fog,3,1,93.4765636920929,98.99677276611328
fsgc,fog,2,1,94.44336295127867,99.2531509399414
fsgc,fog,1,1,94.775390625,99.33354949951172
fsgc,elastic,5,1,77.69531607627869,92.6148681640625
fsgc,elastic,4,1,81.8359375,94.75234985351562
fsgc,elastic,3,1,88.02734613418579,97.4561004638672
fsgc,elastic,2,1,90.7910168170929,98.32906341552734
fsgc,elastic,1,1,91.07422232627867,98.3744125366211
fsgc,defocus_blur,5,1,62.529295682907104,81.79654693603516
fsgc,defocus_blur,4,1,82.2949230670929,95.21324157714844
fsgc,defocus_blur,3,1,89.70703482627869,97.97988891601562
fsgc,defocus_blur,2,1,93.75,99.05066680908205
fsgc,defocus_blur,1,1,94.3554699420929,99.26836395263672
fsgc,contrast,5,1,46.57226502895355,68.9491195678711
fsgc,contrast,4,1,84.4531238079071,96.26515197753906
fsgc,contrast,3,1,90.53711295127867,98.35098266601562
fsgc,contrast,2,1,92.6171898841858,98.87152099609376
fsgc,contrast,1,1,94.580078125,99.30792999267578
fsgc,brightness,5,1,89.7656261920929,98.17820739746094
fsgc,brightness,4,1,92.7929699420929,98.929443359375
fsgc,brightness,3,1,93.5351550579071,99.15088653564452
fsgc,brightness,2,1,94.24805045127867,99.24200439453124
fsgc,brightness,1,1,94.4726586341858,99.27471923828124
fsgc,zoom_blur,5,2,70.41015625,87.88180541992188
fsgc,zoom_blur,4,2,79.72656488418579,93.55152893066406
fsgc,zoom_blur,3,2,83.48633050918579,95.72156524658205
fsgc,zoom_blur,2,2,87.85156607627869,97.33265686035156
fsgc,zoom_blur,1,2,89.41406607627869,98.01138305664062
fsgc,speckle_noise,5,2,42.05078184604645,66.74150848388672
fsgc,speckle_noise,4,2,53.02734375,77.29496765136719
fsgc,speckle_noise,3,2,64.93164300918579,86.35441589355469
fsgc,speckle_noise,2,2,72.69531488418579,91.04293823242188
fsgc,speckle_noise,1,2,85.5664074420929,97.07550811767578
fsgc,spatter,5,2,73.1640636920929,88.78632354736328
fsgc,spatter,4,2,84.7851574420929,95.49229431152344
fsgc,spatter,3,2,79.98046875,94.2855453491211
fsgc,spatter,2,2,84.8339855670929,95.9664306640625
fsgc,spatter,1,2,91.2304699420929,98.41034698486328
fsgc,snow,5,2,75.35156607627869,92.0261688232422
fsgc,snow,4,2,80.13672232627869,94.60516357421876
fsgc,snow,3,2,82.6855480670929,95.5748291015625
fsgc,snow,2,2,79.7558605670929,94.40333557128906
fsgc,snow,1,2,89.10156488418579,97.78805541992188
fsgc,shot_noise,5,2,37.40234375,59.59247589111328
fsgc,shot_noise,4,2,47.83203303813934,71.79337310791016
fsgc,shot_noise,3,2,55.830079317092896,79.19385528564453
fsgc,shot_noise,2,2,77.197265625,93.16332244873048
fsgc,shot_noise,1,2,85.9082043170929,97.00690460205078
fsgc,saturate,5,2,82.26562738418579,95.32280731201172
fsgc,saturate,4,2,89.34570550918579,98.03065490722656
fsgc,saturate,3,2,93.505859375,98.99154663085938
fsgc,saturate,2,2,90.0195300579071,98.23090362548828
fsgc,saturate,1,2,92.39258170127867,98.8780288696289
fsgc,pixelate,5,2,45.97656428813934,66.87171173095703
fsgc,pixelate,4,2,64.05273675918579,84.55839538574219
fsgc,pixelate,3,2,81.65039420127869,95.4863510131836
fsgc,pixelate,2,2,86.767578125,97.43201446533205
fsgc,pixelate,1,2,92.00195670127867,98.83648681640624
fsgc,motion_blur,5,2,69.7265625,86.83358001708984
fsgc,motion_blur,4,2,77.83203125,92.07599639892578
fsgc,motion_blur,3,2,77.685546875,91.96609497070312
fsgc,motion_blur,2,2,85.11719107627869,96.23937225341795
fsgc,motion_blur,1,2,90.6933605670929,98.38622283935548
fsgc,jpeg_compression,5,2,73.34961295127869,90.09626007080078
fsgc,jpeg_compression,4,2,76.7382800579071,92.47850036621094
fsgc,jpeg_compression,3,2,79.72656488418579,94.1729507446289
fsgc,jpeg_compression,2,2,81.38672113418579,94.69270324707033
fsgc,jpeg_compression,1,2,86.19140982627869,97.0164794921875
fsgc,impulse_noise,5,2,21.19140625,33.900489807128906
fsgc,impulse_noise,4,2,32.77343809604645,52.31990814208984
fsgc,impulse_noise,3,2,51.738280057907104,74.33716583251953
fsgc,impulse_noise,2,2,66.9628918170929,85.71859741210938
fsgc,impulse_noise,1,2,81.5136730670929,94.32781219482422
fsgc,gaussian_noise,5,2,30.039063096046448,49.587005615234375
fsgc,gaussian_noise,4,2,35.05859375,56.41439437866211
fsgc,gaussian_noise,3,2,41.39648377895355,64.37930297851562
fsgc,gaussian_noise,2,2,60.400390625,81.7143325805664
fsgc,gaussian_noise,1,2,79.4921875,94.32537841796876
fsgc,gaussian_blur,5,2,46.308594942092896,63.53412628173828
fsgc,gaussian_blur,4,2,71.435546875,88.27369689941406
fsgc,gaussian_blur,3,2,81.8066418170929,94.95613098144533
fsgc,gaussian_blur,2,2,89.8730456829071,98.0448760986328
fsgc,gaussian_blur,1,2,94.7949230670929,99.30567169189452
fsgc,frosted_glass_blur,5,2,53.62305045127869,73.33284759521484
fsgc,frosted_glass_blur,4,2,48.32031428813934,65.83123779296875
fsgc,frosted_glass_blur,3,2,64.63867425918579,83.8354721069336
fsgc,frosted_glass_blur,2,2,59.794920682907104,79.53608703613281
fsgc,frosted_glass_blur,1,2,58.857423067092896,78.39606475830078
fsgc,frost,5,2,67.47070550918579,88.1920166015625
fsgc,frost,4,2,76.21093988418579,92.8345718383789
fsgc,frost,3,2,77.6171863079071,93.6272964477539
fsgc,frost,2,2,85.9179675579071,96.97650909423828
fsgc,frost,1,2,91.3964867591858,98.54261016845705
fsgc,fog,5,2,75.08789300918579,91.63980102539062
fsgc,fog,4,2,90.0683581829071,98.29022216796876
fsgc,fog,3,2,93.41797232627867,98.97586822509766
fsgc,fog,2,2,94.2187488079071,99.21563720703124
fsgc,fog,1,2,94.6582019329071,99.31639862060548
fsgc,elastic,5,2,77.490234375,92.6173095703125
fsgc,elastic,4,2,82.07031488418579,94.56717681884766
fsgc,elastic,3,2,87.79296875,97.29523468017578
fsgc,elastic,2,2,91.2890613079071,98.39973449707033
fsgc,elastic,1,2,91.12305045127867,98.4411849975586
fsgc,defocus_blur,5,2,63.85742425918579,82.12325286865234
