run_id,lr,seed,epochs,dataset,momentum,ckpt_path,optimizer,batch_size,model_name,label_noise,train_subset,weight_decay,_runtime,sgd/test/nll,sgd/train/nll,train/best_acc,sgd/train/epoch,sgd/train/mini_loss,_wandb,sgd/val/epoch,sgd/test/acc,sgd/val/acc,sgd/val/nll,val/best_acc,sgd/train/acc,_step,test/best_acc,sgd/test/epoch,val/best_epoch,sgd/val/avg_nll,sgd/test/avg_nll,sgd/train/avg_nll,_timestamp,mode,func_decay,decay
be6lror0,0.1,42,200,cifar10,0.9,,sgd,128,mresnet18,0,0.1,2.0802457507715515e-06,1004.8589932918547,15388.39453125,67.04226684570312,0.9966000318527222,199,0.005282103084027767,{'runtime': 1007},199,0.7387000322341919,0.7380000352859497,15906.4521484375,0.7387000322341919,0.9966000318527222,457,0.7387000322341919,121,121,1.5906453132629397,1.53883957862854,0.01340845413506031,1667808011.3601382,PS-MAP,,2.0802457507715515e-06
0j3xlu4h,0.1,42,200,cifar10,0.9,,sgd,128,mresnet18,0,0.6,7.308491474450947e-07,1876.8329203128817,7769.1025390625,16.579391479492188,0.9999333620071412,199,5.3204334108158946e-05,{'runtime': 1880},199,0.891200065612793,0.8901000618934631,7852.94384765625,0.891200065612793,0.9999333620071412,889,0.891200065612793,143,143,0.7852944135665894,0.7769103050231934,0.0005526464083231986,1667808883.0142064,PS-MAP,,7.308491474450947e-07
404wrmqe,0.1,42,200,cifar10,0.9,,sgd,128,mresnet18,0,0.8,4.622463330003196e-05,2253.296890258789,5106.8232421875,12.45688819885254,0.9999500513076782,199,0.0006215989706106484,{'runtime': 2259},199,0.9117000699043274,0.9117000699043274,5106.8232421875,0.9117000699043274,0.9999500513076782,1089,0.9117000699043274,199,199,0.5106823444366455,0.5106823444366455,0.00031142221996560693,1667809094.2857313,PS-MAP,,4.622463330003196e-05
ubmx4yy1,0.1,42,200,cifar10,0.9,,sgd,128,mresnet18,0,0.8,5.1982706577574395e-05,2162.8723533153534,5132.73388671875,8.31662368774414,1.0,199,0.0001643890573177487,{'runtime': 2167},199,0.9093000292778016,0.9082000255584716,5118.72314453125,0.9093000292778016,1.0,1085,0.9093000292778016,184,184,0.5118723511695862,0.5132734179496765,0.00020791559654753655,1667808961.4374032,PS-MAP,,5.1982706577574395e-05
qx8chvey,0.1,42,200,cifar10,0.9,,sgd,128,mresnet18,0,0.8,0.2822802041116075,1604.5067818164823,23029.23828125,92120.9296875,0.09975000470876694,199,2.302765369415283,{'runtime': 1606},199,0.10000000149011612,0.10000000149011612,23025.8671875,0.10000000149011612,0.09975000470876694,1001,0.10000000149011612,0,0,2.302586793899536,2.3029239177703857,2.303023338317871,1667808312.537012,PS-MAP,,0.2822802041116075
ru763q28,0.1,42,200,cifar10,0.9,,sgd,128,mresnet18,0,0.8,0.04706295047113235,1866.3815820217133,22012.78125,88415.7421875,0.15047501027584076,199,2.3022148609161377,{'runtime': 1872},199,0.16120000183582306,0.10000000149011612,23025.9296875,0.16120000183582306,0.15047501027584076,1005,0.16120000183582306,5,5,2.3025929927825928,2.2012782096862793,2.2103936672210693,1667808566.367848,PS-MAP,,0.04706295047113235
86xgg49h,0.1,42,200,cifar10,0.9,,sgd,128,mresnet18,0,0.8,0.005226300688239612,2106.1830654144287,4026.759521484375,8615.8056640625,0.9315500259399414,199,0.28140828013420105,{'runtime': 2109},199,0.8670000433921814,0.8655000329017639,4028.819091796875,0.8670000433921814,0.9315500259399414,1071,0.8670000433921814,198,198,0.402881920337677,0.4026759564876557,0.2153951525688171,1667808792.8363974,PS-MAP,,0.005226300688239612
anykt8lx,0.1,42,200,cifar10,0.9,,sgd,128,mresnet18,0,0.8,6.939308191634433e-05,2194.4733901023865,5022.5166015625,10.27310276031494,0.9999750256538392,199,0.0003637222980614752,{'runtime': 2198},199,0.910700023174286,0.90910005569458,5017.07763671875,0.910700023174286,0.9999750256538392,1089,0.910700023174286,197,197,0.5017077922821045,0.5022516846656799,0.00025682756677269936,1667808881.176844,PS-MAP,,6.939308191634433e-05
m8l1b9j8,0.1,42,200,cifar10,0.9,,sgd,128,mresnet18,0,0.8,0.0012717462601169118,2063.9971125125885,3277.34228515625,183.19287109375,0.9996000528335572,199,0.0030445330776274204,{'runtime': 2066},199,0.9188000559806824,0.9178000688552856,3300.951904296875,0.9188000559806824,0.9996000528335572,1093,0.9188000559806824,197,197,0.33009520173072815,0.32773423194885254,0.004579822067171335,1667808719.9590695,PS-MAP,,0.0012717462601169118
0fdb09zj,0.1,42,200,cifar10,0.9,,sgd,128,mresnet18,0,0.8,0.002884188551159568,2192.628668308258,3339.41162109375,1629.287841796875,0.9911750555038452,199,0.031114842742681503,{'runtime': 2197},199,0.900600016117096,0.900600016117096,3339.41162109375,0.900600016117096,0.9911750555038452,1091,0.900600016117096,199,199,0.33394119143486023,0.33394119143486023,0.04073219746351242,1667808846.2078123,PS-MAP,,0.002884188551159568
r68722c6,0.1,42,200,cifar10,0.9,,sgd,128,mresnet18,0,0.4,2.4967786737995538e-06,1538.176643371582,9329.8154296875,14.865711212158203,0.9998000264167786,199,0.0006297174841165543,{'runtime': 1541},199,0.8647000193595886,0.8632000684738159,9421.1904296875,0.8647000193595886,0.9998000264167786,677,0.8647000193595886,146,146,0.9421190619468688,0.9329816102981568,0.0007432855782099068,1667808188.8754537,PS-MAP,,2.4967786737995538e-06
