mode,corruption,level,seed_id,s/test/acc,s/test/sel_acc
ps,shot_noise,5,0,35.15625,51.05646896362305
ps,shot_noise,4,0,48.32031428813934,67.2457275390625
ps,gaussian_blur,1,0,95.37109732627867,99.3022232055664
ps,frosted_glass_blur,3,0,62.724608182907104,83.01988220214844
ps,frosted_glass_blur,1,0,57.929688692092896,78.32160186767578
ps,frost,5,0,67.48046875,86.56610870361328
ps,zoom_blur,5,0,66.22070670127869,85.21488189697266
ps,zoom_blur,4,0,76.08398795127869,91.97639465332033
ps,zoom_blur,3,0,81.40625357627869,94.7333526611328
ps,zoom_blur,1,0,89.49218988418579,97.7958526611328
ps,zoom_blur,2,0,86.82617545127869,96.91828155517578
ps,speckle_noise,5,0,40.888673067092896,60.12871551513672
ps,speckle_noise,4,0,52.87109613418579,73.7063980102539
ps,speckle_noise,3,0,67.56836175918579,86.06672668457031
ps,speckle_noise,2,0,75.40039420127869,91.5402603149414
ps,speckle_noise,1,0,87.4804675579071,97.384033203125
ps,spatter,5,0,75.49805045127869,88.7413558959961
ps,spatter,4,0,85.4687511920929,96.03472137451172
ps,spatter,3,0,84.4042956829071,95.89037322998048
ps,spatter,2,0,87.939453125,97.38744354248048
ps,spatter,1,0,93.3984398841858,98.84577178955078
ps,snow,5,0,76.8261730670929,91.90106201171876
ps,snow,4,0,81.4160168170929,94.5754623413086
ps,snow,3,0,83.84765982627869,95.57293701171876
ps,snow,2,0,80.65429925918579,94.13233184814452
ps,snow,1,0,90.234375,98.12255096435548
ps,shot_noise,3,0,57.158201932907104,75.7967758178711
ps,shot_noise,2,0,79.16015982627869,93.65174102783205
ps,shot_noise,1,0,87.3730480670929,97.40485382080078
ps,saturate,5,0,89.44336175918579,97.83709716796876
ps,saturate,4,0,92.4707055091858,98.81586456298828
ps,saturate,3,0,94.6093738079071,99.16155242919922
ps,saturate,1,0,92.7929699420929,98.67131805419922
ps,saturate,2,0,91.41601920127867,98.37820434570312
ps,pixelate,5,0,47.27539122104645,67.54468536376953
ps,pixelate,4,0,68.07617545127869,86.89850616455078
ps,pixelate,3,0,83.82812738418579,96.0333251953125
ps,pixelate,2,0,88.22265863418579,97.5712432861328
ps,pixelate,1,0,92.6660180091858,98.82759857177734
ps,motion_blur,5,0,66.89453125,86.1390609741211
ps,motion_blur,4,0,75.9082019329071,91.89396667480467
ps,motion_blur,3,0,76.01562738418579,92.0614776611328
ps,motion_blur,2,0,85.4199230670929,96.15843963623048
ps,motion_blur,1,0,92.0214831829071,98.5224838256836
ps,jpeg_compression,5,0,75.10742545127869,90.45858764648438
ps,jpeg_compression,4,0,78.5351574420929,92.84918975830078
ps,jpeg_compression,3,0,80.89843988418579,94.0380401611328
ps,jpeg_compression,2,0,82.3925793170929,95.01834869384766
ps,impulse_noise,5,0,23.505859076976776,34.06393051147461
ps,jpeg_compression,1,0,87.6953125,97.32292938232422
ps,impulse_noise,4,0,39.619141817092896,58.180442810058594
ps,impulse_noise,3,0,61.503905057907104,81.48592376708984
ps,impulse_noise,2,0,72.01172113418579,88.45346069335938
ps,impulse_noise,1,0,84.53125357627869,95.62171936035156
ps,gaussian_noise,5,0,28.398439288139343,41.17462158203125
ps,gaussian_noise,4,0,34.62890684604645,48.90005874633789
ps,gaussian_noise,3,0,41.85546934604645,57.759613037109375
ps,gaussian_noise,2,0,61.61133050918579,79.31185150146484
ps,gaussian_noise,1,0,80.2539050579071,94.06475830078124
ps,gaussian_blur,5,0,40.351563692092896,59.33564758300781
ps,gaussian_blur,4,0,67.7539050579071,86.90038299560547
ps,gaussian_blur,3,0,81.591796875,95.05093383789062
ps,gaussian_blur,2,0,90.58594107627867,98.17049407958984
ps,frosted_glass_blur,5,0,50.48828125,71.17452239990234
ps,frosted_glass_blur,4,0,46.91406190395355,66.92621612548828
ps,frosted_glass_blur,2,0,60.14648675918579,80.06714630126953
ps,frost,4,0,76.7382800579071,92.138671875
ps,frost,3,0,77.89062857627869,93.1188507080078
ps,frost,2,0,86.1132800579071,96.59051513671876
ps,frost,1,0,91.40625,98.43113708496094
ps,fog,5,0,73.388671875,90.4511260986328
ps,fog,4,0,88.77930045127869,97.81644439697266
ps,fog,3,0,92.09961295127867,98.48746490478516
ps,fog,2,0,93.5839831829071,99.02591705322266
ps,fog,1,0,95.1171875,99.1907958984375
ps,elastic,5,0,77.099609375,92.1140594482422
ps,elastic,4,0,81.6210925579071,94.68292236328124
ps,elastic,3,0,88.134765625,97.37887573242188
ps,elastic,2,0,91.3378894329071,98.3328857421875
ps,elastic,1,0,91.1328136920929,98.31773376464844
ps,defocus_blur,5,0,57.71484375,78.15550231933594
ps,defocus_blur,4,0,81.591796875,94.99475860595705
ps,defocus_blur,3,0,90.7128930091858,98.17321014404295
ps,defocus_blur,2,0,93.6230480670929,99.03770446777344
ps,defocus_blur,1,0,95.2832043170929,99.32281494140624
