run_id,lr,seed,epochs,dataset,momentum,ckpt_path,optimizer,batch_size,model_name,label_noise,train_subset,weight_decay,sgd/val/epoch,sgd/train/epoch,sgd/train/avg_nll,_timestamp,sgd/val/acc,sgd/test/nll,train/best_acc,sgd/test/avg_nll,sgd/val/nll,sgd/test/acc,sgd/train/nll,test/best_acc,sgd/test/epoch,val/best_epoch,sgd/val/avg_nll,sgd/train/mini_loss,_step,_wandb,_runtime,val/best_acc,sgd/train/acc,mode,func_decay,decay
9pb27flw,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,0.0017814521926122371,199,199,0.0024018792901188135,1667304236.0378945,0.9336000680923462,3026.97998046875,1.0,0.302698016166687,2789.095947265625,0.9314000606536864,120.09396362304688,0.9314000606536864,192,192,0.2789095938205719,0.003493315540254116,1051,{'runtime': 1870},1868.8645703792572,0.9339000582695008,1.0,PS-MAP,,0.0017814521926122371
q18m2qno,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.2,1,4.670947810912443e-05,199,199,0.931145966053009,1667304137.6147645,0.8920000195503235,4320.546875,0.7721799612045288,0.43205469846725464,5215.0986328125,0.9054000377655028,46557.30078125,0.9054000377655028,3,3,0.5215098857879639,0.00011279444152023645,1007,{'runtime': 1785},1784.2109203338623,0.9134000539779664,0.7721799612045288,PS-MAP,,4.670947810912443e-05
te6r5v2l,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,7.13289366035597e-05,199,199,9.358497482025996e-05,1667304164.540441,0.9379000663757324,3450.18310546875,1.0,0.34501832723617554,3194.12451171875,0.9332000613212584,4.679248809814453,0.9332000613212584,160,160,0.3194124698638916,0.00011412244202801958,1041,{'runtime': 1836},1833.0217061042783,0.9395000338554382,1.0,PS-MAP,,7.13289366035597e-05
utoz6lwu,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.5,1,0.017756411676311742,199,199,1.9446587562561035,1667303986.9706376,0.09790000319480896,12602.5517578125,0.4052599966526031,1.260255217552185,23025.546875,0.692300021648407,97232.9375,0.692300021648407,1,1,2.3025548458099365,2.303804874420166,1003,{'runtime': 1729},1723.5498616695404,0.7016000151634216,0.4052599966526031,PS-MAP,,0.017756411676311742
p2zs6y8m,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,0.001352262850450984,199,199,0.0019537529442459345,1667304128.035316,0.9362000226974488,3064.433349609375,1.0,0.30644336342811584,2695.635009765625,0.9307000637054444,97.6876449584961,0.9307000637054444,188,188,0.2695635259151459,0.0023462919052690268,1047,{'runtime': 1878},1873.729099035263,0.937000036239624,1.0,PS-MAP,,0.001352262850450984
p4v0l12r,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.5,1,0.00068636350663875,199,199,1.730650782585144,1667303949.3854651,0.6849000453948975,8851.802734375,0.5150399804115295,0.8851802945137024,10752.080078125,0.884600043296814,86532.5390625,0.884600043296814,9,9,1.075208067893982,0.00231712544336915,1011,{'runtime': 1753},1750.6205232143402,0.8906000256538391,0.5150399804115295,PS-MAP,,0.00068636350663875
j853uz2k,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.2,1,0.00952631083019852,199,199,1.0030848979949951,1667304066.278602,0.8879000544548035,4922.4833984375,0.7521199584007263,0.4922483563423157,4902.23828125,0.8895000219345093,50154.24609375,0.8895000219345093,197,197,0.49022385478019714,0.9866291284561156,1031,{'runtime': 1904},1898.4097979068756,0.8911000490188599,0.7521199584007263,PS-MAP,,0.00952631083019852
x3qn0jz0,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.2,1,0.010538408526393471,199,199,1.0517867803573608,1667303924.2596903,0.854900062084198,5894.6181640625,0.7291399836540222,0.5894618630409241,5789.22314453125,0.8502000570297241,52589.33984375,0.8502000570297241,199,199,0.5789223313331604,1.0361905097961426,1043,{'runtime': 1932},1929.2267105579376,0.854900062084198,0.7291399836540222,PS-MAP,,0.010538408526393471
ofkgsghj,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.8,1,8.910503559688958e-06,199,199,2.148817777633667,1667303713.3024445,0.33000001311302185,14472.974609375,0.2668199837207794,1.4472975730895996,46735.7265625,0.8235000371932983,107440.890625,0.8235000371932983,4,4,4.673573017120361,3.7166671972954646e-05,1009,{'runtime': 1814},1811.7259395122528,0.836400032043457,0.2668199837207794,PS-MAP,,8.910503559688958e-06
o9nwf9i1,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.2,1,0.9229147951133164,199,199,2.302691698074341,1667303608.2032964,0.09790000319480896,23026.552734375,0.09851999580860138,2.3026554584503174,23025.974609375,0.10000000149011612,115134.59375,0.10000000149011612,3,3,2.3025975227355957,2.3026740550994873,1007,{'runtime': 1800},1795.2841424942017,0.10740000754594804,0.09851999580860138,PS-MAP,,0.9229147951133164
iu7rjj3p,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.8,1,5.942651940475557e-06,199,199,2.1710803508758545,1667303660.9929466,0.32750001549720764,15020.26171875,0.2593599855899811,1.5020262002944946,48837.92578125,0.822700023651123,108554.015625,0.822700023651123,3,3,4.883792877197266,4.1475490434095263e-05,1007,{'runtime': 1878},1872.2267196178436,0.8331000208854675,0.2593599855899811,PS-MAP,,5.942651940475557e-06
umo33868,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.2,1,8.396513208462424e-05,199,199,0.8101892471313477,1667303588.9873352,0.8911000490188599,4250.43310546875,0.7978999614715576,0.42504334449768066,4711.9794921875,0.9049000144004822,40509.46484375,0.9049000144004822,6,6,0.4711979627609253,0.0002363500825595111,1009,{'runtime': 1805},1801.6476953029633,0.9103000164031982,0.7978999614715576,PS-MAP,,8.396513208462424e-05
abkrilju,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,0.0035151482526955226,199,199,0.005304161459207535,1667303688.4932053,0.932900071144104,2712.3818359375,1.0,0.27123820781707764,2527.575439453125,0.9296000599861144,265.20806884765625,0.9296000599861144,194,194,0.25275754928588867,0.009529931470751762,1057,{'runtime': 1932},1929.917756319046,0.9344000220298768,1.0,PS-MAP,,0.0035151482526955226
ln0sc3jl,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.8,1,0.07188391842145643,199,199,2.303598642349243,1667303412.920095,0.0999000072479248,23033.873046875,0.09877999871969224,2.303387403488159,23025.767578125,0.10000000149011612,115179.9296875,0.10000000149011612,2,2,2.302576780319214,2.3013992309570312,1005,{'runtime': 1771},1766.2294330596924,0.10740000754594804,0.09877999871969224,PS-MAP,,0.07188391842145643
3s23z9vi,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,0.00012613555119169595,199,199,0.0001827871601562947,1667303450.250383,0.9385000467300416,3315.00341796875,1.0,0.3315003514289856,3005.927001953125,0.9337000250816344,9.139358520507812,0.9337000250816344,192,192,0.30059272050857544,0.0003172246797475964,1041,{'runtime': 1820},1818.4774010181427,0.9386000633239746,1.0,PS-MAP,,0.00012613555119169595
ymgih9te,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.0,1,0.16769050303132238,199,199,2.302929639816284,1667303284.5920155,0.09450000524520874,23029.375,0.09851999580860138,2.3029375076293945,23027.005859375,0.10000000149011612,115146.484375,0.10000000149011612,10,10,2.3027007579803467,2.3024492263793945,1007,{'runtime': 1780},1777.1453576087952,0.10740000754594804,0.09851999580860138,PS-MAP,,0.16769050303132238
