run_id,lr,seed,epochs,dataset,momentum,ckpt_path,optimizer,batch_size,model_name,train_subset,weight_decay,sgd/test/nll,sgd/val/epoch,test/best_acc,sgd/train/mini_loss,_runtime,sgd/test/acc,val/best_acc,sgd/train/nll,val/best_epoch,sgd/train/epoch,sgd/val/nll,sgd/val/acc,sgd/train/acc,train/best_acc,_timestamp,_wandb,sgd/test/epoch,sgd/val/avg_nll,sgd/test/avg_nll,sgd/train/avg_nll,_step,mode,func_decay,decay
hhxavu03,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.8,6.370878723255453e-07,5209.29833984375,199,0.930500030517578,8.67568451212719e-06,1657.7918837070465,0.930500030517578,0.9366000294685364,0.1759665459394455,76,199,4561.69580078125,0.9351000189781188,1.0,1.0,1666923546.8230307,{'runtime': 1659},76,0.45616960525512695,0.5209298729896545,4.399164026835933e-06,1037,PS-MAP,,6.370878723255453e-07
r2h077xb,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.8,0.04777362591714869,10666.7314453125,199,0.6532000303268433,2.3028206825256348,1530.652500152588,0.6532000303268433,0.6654000282287598,41797.765625,1,199,23028.365234375,0.09790000319480896,0.6651250123977661,0.6651250123977661,1666923429.7472432,{'runtime': 1534},1,2.3028366565704346,1.0666731595993042,1.044944167137146,1003,PS-MAP,,0.04777362591714869
0kt9rrbw,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,1.0,2.906688432407449e-06,4703.06689453125,199,0.9338000416755676,7.4508311627141666e-06,1904.8423330783844,0.9338000416755676,0.9395000338554382,0.7100839018821716,38,199,4256.6396484375,0.9387000203132628,1.0,1.0,1666923678.2523222,{'runtime': 1906},38,0.4256639778614044,0.47030672430992126,1.4201677913661117e-05,1025,PS-MAP,,2.906688432407449e-06
n3r15buk,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.6,0.8588866811055609,23027.2265625,199,0.10000000149011612,2.302687883377075,1331.3469202518463,0.10000000149011612,0.10740000754594804,69085.78125,27,199,23026.4921875,0.09450000524520874,0.09763333201408386,0.09763333201408386,1666923086.1699882,{'runtime': 1335},27,2.3026492595672607,2.302722692489624,2.302859306335449,805,PS-MAP,,0.8588866811055609
vwdtbqdr,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,1.0,0.0777479955742297,23028.1640625,199,0.10000000149011612,2.3023743629455566,1726.016979932785,0.10000000149011612,0.10740000754594804,115140.6796875,5,199,23027.611328125,0.09450000524520874,0.09851999580860138,0.09851999580860138,1666923481.171036,{'runtime': 1730},5,2.3027613162994385,2.30281662940979,2.3028135299682617,1005,PS-MAP,,0.0777479955742297
k4eld4q0,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,1.0,0.3229668099470498,23029.123046875,199,0.10000000149011612,2.3027114868164062,1787.543692111969,0.10000000149011612,0.10740000754594804,115148.6640625,12,199,23026.615234375,0.09450000524520874,0.09851999580860138,0.09851999580860138,1666923492.0099292,{'runtime': 1790},12,2.302661657333374,2.302912473678589,2.30297327041626,1007,PS-MAP,,0.3229668099470498
otthojqe,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.8,7.423799370137366e-05,3619.368896484375,199,0.9317000508308412,0.00016906962264329195,1759.943018913269,0.9317000508308412,0.9356000423431396,3.5243308544158936,131,199,3461.35498046875,0.9337000250816344,1.0,1.0,1666923458.499358,{'runtime': 1759},131,0.34613552689552307,0.36193689703941345,8.810827421257272e-05,1045,PS-MAP,,7.423799370137366e-05
5pwb473g,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.6,0.0005857966378384205,3542.06787109375,199,0.9216000437736512,0.001204643864184618,1583.3767764568329,0.9216000437736512,0.9304000735282898,25.49084091186523,181,199,3155.028564453125,0.9285000562667848,1.0,1.0,1666923289.8762584,{'runtime': 1590},181,0.3155028820037842,0.35420680046081543,0.000849694712087512,845,PS-MAP,,0.0005857966378384205
nubk1v0t,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,1.0,0.00105362787193657,3092.533203125,199,0.9320000410079956,0.0018932566745206712,2031.061944961548,0.9320000410079956,0.9367000460624696,77.98323822021484,197,199,2763.921142578125,0.936500072479248,1.0,1.0,1666923663.558372,{'runtime': 2037},197,0.2763921320438385,0.3092533349990845,0.0015596647281199694,1047,PS-MAP,,0.00105362787193657
gu7ky72e,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.1,7.334953401098699e-05,6300.083984375,199,0.8866000175476074,0.00022189664014149457,823.883908033371,0.8866000175476074,0.8886000514030457,1.2477415800094604,48,199,6108.87841796875,0.881600022315979,1.0,1.0,1666922449.319127,{'runtime': 819},48,0.610887885093689,0.6300083994865417,0.0002495483204256743,431,PS-MAP,,7.334953401098699e-05
1dg5rvwl,0.1,42,200,fmnist,0.9,,sgd,128,mresnet18,0.4,0.1604109351673446,21551.490234375,199,0.15760000050067902,2.3023898601531982,1105.7551004886627,0.15760000050067902,0.15760000050067902,43114.96484375,0,199,23028.41796875,0.09520000219345091,0.15235000848770142,0.15235000848770142,1666922697.7576766,{'runtime': 1110},0,2.302841901779175,2.155149221420288,2.1557483673095703,601,PS-MAP,,0.1604109351673446
