run_id,seed,dataset,ctx_dataset,label_noise,reg_scale,s/test/acc,s/test/sel_acc,s/test/avg_nll,s/test/ece
7wk4zdn5,211,cifar10,cifar100,0.4,1e-06,71.37999534606934,88.61408996582031,1.0044704675674438,8.065911645543064
blvr10cm,5,cifar10,cifar100,0.4,0.0,67.66999959945679,85.03938293457031,1.5244386196136477,19.146283271345176
nf1w6lf6,173,cifar10,cifar100,0.4,1e-06,71.42999768257141,88.66777038574219,0.9861675500869752,7.700128690004348
c8v0xokw,157,cifar10,cifar100,0.4,1e-06,71.50999903678894,88.80152130126953,0.996770203113556,7.989050964415073
cixdmj60,5,cifar10,cifar100,0.4,1e-06,71.0599958896637,88.55522155761719,1.004852533340454,8.612046524584294
y073i9mu,53,cifar10,cifar100,0.4,1e-06,71.81000113487244,88.98405456542969,0.9990793466567992,8.482682784497737
rfmv58l9,211,cifar10,cifar100,0.2,0.0,83.99999737739563,95.54508972167967,0.7229092717170715,9.095421256149876
vnn8ucru,173,cifar10,cifar100,0.2,0.0,84.22999978065491,95.88350677490234,0.6870426535606384,9.043394274908225
230wjs9w,157,cifar10,cifar100,0.2,0.0,85.27999520301819,95.88980865478516,0.6474513411521912,7.939729913822887
w2w64ny3,53,cifar10,cifar100,0.2,0.0,84.54999923706055,96.06635284423828,0.6709937453269958,8.514810635086677
o2jv98k5,5,cifar10,cifar100,0.2,0.0,84.60999727249146,95.8813018798828,0.6768434047698975,8.465802648632183
x03h6bpl,211,cifar10,cifar100,0.2,1e-06,87.00999617576599,97.23239135742188,0.46149304509162903,2.8711444935202595
nw9lamkt,173,cifar10,cifar100,0.2,1e-06,86.71000003814697,96.91121673583984,0.4749867618083954,3.1063366073369987
lviqr6r5,157,cifar10,cifar100,0.2,1e-06,87.16999888420105,97.1021728515625,0.46478891372680664,3.0504080626368517
whol186s,53,cifar10,cifar100,0.2,1e-06,88.00999522209167,97.37689208984376,0.4298553466796875,2.2703445428609847
tu1d8jvg,5,cifar10,cifar100,0.2,1e-06,87.38999962806702,97.08236694335938,0.4592960774898529,2.6936241756379604
1m6k6f6h,211,cifar10,cifar100,0.0,0.0,95.31999826431274,99.42399597167967,0.17957571148872375,2.7095738601684562
iyocqr1p,173,cifar10,cifar100,0.0,0.0,95.19999623298644,99.43717956542967,0.17744717001914978,2.6904926669597624
zega0iti,157,cifar10,cifar100,0.0,0.0,95.44000029563904,99.42416381835938,0.17491957545280457,2.4477649292349817
zvztijed,53,cifar10,cifar100,0.0,0.0,95.42999863624571,99.43560791015624,0.18125930428504944,2.4747598661482337
58rbcct4,211,cifar10,cifar100,0.0,1e-06,95.46999931335448,99.49056243896484,0.162253275513649,1.581127976477146
bxz43v7u,5,cifar10,cifar100,0.0,0.0,95.44000029563904,99.45488739013672,0.18304572999477384,2.5936566975712774
daquuj3q,173,cifar10,cifar100,0.0,1e-06,95.48999667167664,99.49768829345705,0.1575510799884796,1.402793231457472
azhhfaky,157,cifar10,cifar100,0.0,1e-06,95.45999765396118,99.51546478271484,0.15695731341838837,1.300637031495571
63juj09m,53,cifar10,cifar100,0.0,1e-06,95.49999833106996,99.4930191040039,0.1583728790283203,1.4312723807990546
bm8ewtu7,5,cifar10,cifar100,0.0,1e-06,95.28999924659728,99.50353240966795,0.1571948081254959,1.4795844265818596
lac5ky0n,211,cifar10,cifar10,0.8,0.0,26.92999839782715,37.04900360107422,3.515986680984497,43.78453485704217
3o6c3iyi,173,cifar10,cifar10,0.8,0.0,25.139999389648438,34.701202392578125,3.3571135997772217,41.736015435904264
7tym9xzc,157,cifar10,cifar10,0.8,0.0,26.46999955177307,37.084136962890625,3.4488096237182617,42.43654648646713
jw1kv2oe,53,cifar10,cifar10,0.8,0.0,26.260000467300415,36.046138763427734,3.6569371223449703,44.601479140215574
f4845871,5,cifar10,cifar10,0.8,0.0,27.789998054504395,36.85537338256836,3.327800750732422,41.62128409445286
41fwo64r,211,cifar10,cifar10,0.8,1e-06,27.98999845981598,39.2630615234375,2.595835447311402,29.75240919962526
su7cjfu6,173,cifar10,cifar10,0.8,1e-06,28.419998288154602,38.236473083496094,2.513986110687256,29.425105053186417
