step,reg_loss,method
154,37402.30078125,ps
155,38265.64453125,ps
156,35701.6640625,ps
157,34419.54296875,ps
158,38097.34375,ps
159,37440.07421875,ps
160,32461.58984375,ps
161,35797.9296875,ps
162,31974.623046875,ps
164,38536.703125,ps
165,34745.31640625,ps
166,32623.765625,ps
167,33315.84765625,ps
168,34214.1953125,ps
169,36303.92578125,ps
170,37607.69921875,ps
171,37175.921875,ps
172,34178.9765625,ps
173,39459.31640625,ps
174,36550.62890625,ps
175,35830.54296875,ps
176,38850.76953125,ps
177,39864.96875,ps
178,37696.37890625,ps
179,32419.83203125,ps
180,39060.125,ps
181,34054.8828125,ps
182,36880.2421875,ps
183,39774.94921875,ps
184,35928.1796875,ps
185,38176.66015625,ps
186,33959.265625,ps
187,38810.2265625,ps
188,37654.015625,ps
189,37394.70703125,ps
190,36452.43359375,ps
191,33592.0390625,ps
192,35492.93359375,ps
193,34780.6484375,ps
194,34253.48828125,ps
195,35426.16796875,ps
196,38333.203125,ps
197,38232.34765625,ps
198,39338.51171875,ps
199,42018.12890625,ps
200,35998.6171875,ps
201,41388.64453125,ps
202,35168.625,ps
203,34576.65234375,ps
0,299917.5,lmap
1,3886.70458984375,lmap
2,2031.108642578125,lmap
3,1660.9566650390625,lmap
4,1432.2431640625,lmap
5,1411.4837646484375,lmap
6,1050.7061767578125,lmap
7,1444.281005859375,lmap
8,796.52294921875,lmap
9,1313.72900390625,lmap
10,901.890869140625,lmap
11,975.1497802734376,lmap
12,994.5560302734376,lmap
13,873.8485107421875,lmap
14,887.3893432617188,lmap
15,996.0855102539062,lmap
16,803.2828979492188,lmap
17,786.3726196289062,lmap
18,679.2697143554688,lmap
19,804.4713745117188,lmap
20,866.7161865234375,lmap
21,882.83740234375,lmap
22,891.2761840820312,lmap
23,960.9417724609376,lmap
24,932.3723754882812,lmap
25,740.64111328125,lmap
26,745.3871459960938,lmap
27,809.5961303710938,lmap
28,786.9625854492188,lmap
29,792.881103515625,lmap
30,846.9762573242188,lmap
31,864.7925415039062,lmap
32,853.8076782226562,lmap
33,898.3802490234375,lmap
34,981.9857788085938,lmap
35,1007.6857299804688,lmap
36,804.1216430664062,lmap
37,826.6958618164062,lmap
38,834.4383544921875,lmap
39,808.4740600585938,lmap
41,928.8262329101562,lmap
42,1018.6083984375,lmap
43,988.7723388671876,lmap
44,1045.8001708984375,lmap
45,771.8173217773438,lmap
46,1072.05810546875,lmap
47,759.2997436523438,lmap
48,946.7506713867188,lmap
49,870.6640625,lmap
50,938.2938232421876,lmap
51,914.21923828125,lmap
52,922.9066162109376,lmap
53,833.27392578125,lmap
54,798.5398559570312,lmap
55,885.1658325195312,lmap
56,875.572021484375,lmap
57,936.2936401367188,lmap
58,1105.365234375,lmap
59,784.3075561523438,lmap
60,890.3048095703125,lmap
61,1066.500732421875,lmap
62,1051.5986328125,lmap
63,1039.84765625,lmap
64,1058.6925048828125,lmap
65,967.5905151367188,lmap
66,936.1306762695312,lmap
67,1106.7432861328125,lmap
68,1277.700439453125,lmap
69,954.0033569335938,lmap
70,1156.6275634765625,lmap
71,1212.0987548828125,lmap
72,1066.7886962890625,lmap
73,921.91845703125,lmap
74,1266.5028076171875,lmap
75,757.1011962890625,lmap
76,1003.5147094726562,lmap
77,1081.32080078125,lmap
78,1008.6639404296876,lmap
79,1026.5921630859375,lmap
80,980.3704833984376,lmap
82,973.7157592773438,lmap
83,1072.6517333984375,lmap
84,1227.757080078125,lmap
85,994.212890625,lmap
86,1070.455810546875,lmap
87,1195.3624267578125,lmap
88,1132.8157958984375,lmap
89,1036.47216796875,lmap
90,1295.5057373046875,lmap
91,1124.7916259765625,lmap
92,1087.3214111328125,lmap
93,969.9000854492188,lmap
94,919.6936645507812,lmap
95,1275.23291015625,lmap
96,1164.2510986328125,lmap
97,1213.6387939453125,lmap
98,1190.4228515625,lmap
99,1361.2156982421875,lmap
100,1124.7498779296875,lmap
101,1206.0406494140625,lmap
102,1264.456298828125,lmap
103,1342.82275390625,lmap
104,1258.3658447265625,lmap
105,751.245849609375,lmap
106,1150.5462646484375,lmap
107,969.5567626953124,lmap
108,1741.1522216796875,lmap
109,1272.1181640625,lmap
110,1666.80810546875,lmap
111,1243.9339599609375,lmap
112,1317.892333984375,lmap
113,1295.0838623046875,lmap
114,1350.5279541015625,lmap
115,1150.73974609375,lmap
116,1292.753173828125,lmap
117,1326.9681396484375,lmap
118,1299.8382568359375,lmap
119,998.72314453125,lmap
120,1441.443359375,lmap
121,1577.9688720703125,lmap
123,1170.9976806640625,lmap
124,1058.0081787109375,lmap
125,1134.41259765625,lmap
126,1174.7376708984375,lmap
127,1185.0587158203125,lmap
128,1379.796630859375,lmap
129,1276.7376708984375,lmap
130,1027.158935546875,lmap
131,1384.427490234375,lmap
132,1314.496337890625,lmap
133,1071.2567138671875,lmap
134,1250.253662109375,lmap
135,1128.8192138671875,lmap
136,908.11083984375,lmap
137,1294.481689453125,lmap
138,1105.4656982421875,lmap
139,1716.626220703125,lmap
140,1272.644775390625,lmap
141,1063.564697265625,lmap
142,935.4584350585938,lmap
143,1037.799072265625,lmap
144,1413.0,lmap
145,1100.069580078125,lmap
146,1449.249267578125,lmap
147,1014.5866088867188,lmap
148,1226.3939208984375,lmap
149,930.8411254882812,lmap
150,1396.4033203125,lmap
151,1026.7752685546875,lmap
152,1222.792724609375,lmap
153,1117.417724609375,lmap
154,1906.1640625,lmap
155,687.8191528320312,lmap
156,979.0181274414062,lmap
157,1155.8453369140625,lmap
158,994.2914428710938,lmap
159,893.5842895507812,lmap
160,838.6749267578125,lmap
161,1043.596923828125,lmap
162,994.2374267578124,lmap
164,877.7225341796875,lmap
165,632.0261840820312,lmap
166,569.9486694335938,lmap
167,708.417236328125,lmap
168,816.075439453125,lmap
169,776.9963989257812,lmap
170,599.7988891601562,lmap
171,825.1400756835938,lmap
172,692.1156005859375,lmap
173,637.9021606445312,lmap
174,411.2945556640625,lmap
175,707.5968627929688,lmap
176,648.3632202148438,lmap
177,720.3727416992188,lmap
178,524.1296997070312,lmap
179,556.484375,lmap
180,521.1090698242188,lmap
181,500.390380859375,lmap
182,652.1867065429688,lmap
183,577.8157348632812,lmap
184,580.83203125,lmap
185,534.2848510742188,lmap
186,442.0823669433594,lmap
187,571.21337890625,lmap
188,413.26470947265625,lmap
189,385.2494812011719,lmap
190,474.5818176269531,lmap
191,572.4937133789062,lmap
192,620.3309936523438,lmap
193,853.00390625,lmap
194,472.6339416503906,lmap
195,474.7032165527344,lmap
196,518.8600463867188,lmap
197,571.6398315429688,lmap
198,721.6261596679688,lmap
199,438.1864929199219,lmap
200,413.3118591308594,lmap
201,531.9134521484375,lmap
202,377.2923278808594,lmap
203,610.7958374023438,lmap
